1927	الخدمات لدى %s
1322	ملف جديد: %s
4	لا يوجد في سجلات %(client)s مستمسك «%(type)s» ساري المفعول. استحصله وأضفه إلى الملف.
25	انتهت صلاحية %(name)s في %(date)s.
506	سجلات الشركات معطّلة في الإعدادات.
1484	إضافة المستمسكات إلى سجلات الموكّل من صلاحية المحامي فقط.
1509	لا يُحفظ في سجلات الموكّل إلا مستمسك مستلَم ومحدد النوع.
1728	استلم «%s» قبل أن تطلب من الجهة المُصدِرة تأكيد صحة صدوره.
2189	هذا المستمسك ليس من مستمسكات %s.
63	الملف %s مغلق؛ أعد فتحه قبل تسجيل المراجعة.
694	انتهاء صلاحية مستمسك: %(name)s — %(number)s
2547	«%s» منجزة مسبقاً.
2549	«%s» ليست مراجعة لجهة.
34	%(obligation)s — مستحق في %(date)s
430	اختر أولاً نوع الملف الذي يفتحه هذا الالتزام.
1228	ملفات %s
1488	فتح ملف لالتزام من صلاحية المحامي فقط.
1568	فُتح للالتزام الدوري «%(obligation)s» المستحق في %(date)s.
1944	حدّد تاريخ الاستحقاق القادم أولاً.
2094	يجب أن يكون يوم الالتزام بين 1 و31.
2123	لا يمكن فتح الملف بعد تاريخ الاستحقاق.
2132	يجب أن يكون شهر الالتزام السنوي بين 1 و12.
213	أُضيف ما يلي: الوزارات والهيئات %(ministries)s، الجهات الحكومية %(bodies)s، المحاكم %(courts)s، أنواع المستمسكات %(types)s، الخدمات الحكومية %(services)s. سجلات كانت موجودة وأُبقيت: %(old)s.
1013	تم تحميل المكتبة المرجعية العراقية
1503	تحميل المكتبة المرجعية من صلاحية المدير القانوني فقط.
2169	المكتبة المرجعية محمّلة مسبقاً
10	تنتهي صلاحية %(document)s في %(date)s
33	يستحق %(obligation)s في %(date)s
692	مستمسك
706	مستمسكات %s
1800	جدّد %(document)s الخاص بـ%(client)s
1229	ملفات %s
1497	حذف الموكّل من صلاحية المدير القانوني فقط. أرشفه بدلاً من ذلك.
1526	تغيير المسؤول عن %s من صلاحية المحامي المسؤول عنه أو المدير القانوني فقط.
424	اختر الموكّل.
147	توجد جهة باسم «%s» مسبقاً.
153	لا يمكن أن تكون المحكمة هي المحكمة الأعلى لنفسها.
1225	الملفات لدى %s
2545	«%(name)s» موجودة مسبقاً ضمن %(ministry)s.
73	الملفات المحددة في القائمة: %s.
2098	تاريخ الانتهاء يسبق تاريخ البدء.
2129	ملفات القائمة بعد التصفية.
167	توجد وزارة أو هيئة باسم «%s» مسبقاً.
681	دوائر %s
20	لا يمكن نقل %(matter)s من «%(old)s» إلى «%(new)s».
54	لا توجد جلسة مقررة للملف %s.
55	الملف %s معتمد أو بانتظار الاعتماد مسبقاً.
59	الملف %s معتمد: تغيير موكّله أو نوعه أو جهته من صلاحية المدير القانوني فقط.
60	الملف %s معتمد؛ ألغِ اعتماده قبل إعادته إلى «جديد».
69	الملف %s ليس بانتظار الاعتماد.
75	يحتاج الملف %s إلى اعتماد قبل بدء العمل. أرسله للاعتماد أولاً.
285	ألغى %s الاعتماد.
288	اعتمد %s
291	اعتمده %s.
380	ألغِ الملف
427	اختر الجهة الحكومية للملف %s قبل بدء العمل عليه.
479	أغلق الملف
583	جلسة
587	جلسة في %(date)s — %(number)s
640	مهلة: %(name)s — %(number)s
641	مهلة: %s
711	منجز
1210	أُلغي الملف: %s
1211	أُغلق الملف: %(outcome)s. %(note)s
1239	اجتماع
1486	إلغاء الملف من صلاحية المحامي فقط.
1499	حذف الملف من صلاحية المدير القانوني فقط. ألغِه أو أرشفه بدلاً من ذلك.
1504	إعادة %(matter)s إلى «%(new)s» من صلاحية المدير القانوني فقط.
1506	إلغاء الاعتماد من صلاحية المدير القانوني فقط.
1515	البتّ في الملف من صلاحية المعتمِد فقط.
1525	تغيير فريق %s أو جعله سرياً من صلاحية المحامي المسؤول عنه أو المدير القانوني فقط.
1532	إرسال %s للاعتماد من صلاحية العاملين عليه فقط.
1781	ارفض
1785	رفضه %(user)s: %(note)s
1886	اذكر سبب إلغاء الملف.
1887	اذكر سبب رفض الملف.
1921	أُرسل للاعتماد.
2007	خطوة: %(name)s — %(number)s
2037	التاريخ المستهدف
2039	التاريخ المستهدف — %s
2059	لا يتغير اعتماد الملف إلا عبر «اعتمد» أو «ارفض» أو «أرسل للاعتماد».
2084	لا يمكن أن ينتهي العقد قبل أن يبدأ.
2194	يُحدَّد هذا عند إغلاق الملف أو إصدار الرأي.
2277	استخدم «ألغِ الملف» لإلغاء %s: فهو يطلب ذكر السبب.
2278	استخدم «أغلق الملف» لإغلاق %s: فهو يطلب ذكر النتيجة.
2308	مراجعة: %s
2459	أنت من أرسل %s للاعتماد، لذا يجب أن يبتّ فيه شخص آخر.
32	أُنشئ %(number)s مع %(steps)s خطوات و%(docs)s مستمسكات مطلوبة.
84	%s يوم عمل لدى الجهة
85	%s يوم عمل لهذا النوع
172	يحول تعارض محتمل في المصالح دون هذا الملف. راجع أحد الشركاء.
422	اختر الموكّل أولاً.
833	عقد أتعاب — %s
1024	يبقى «جديداً» حتى تُختار جهته أو يجيزه أحد الشركاء.
1025	ينتظر الاعتماد قبل بدء العمل.
1213	ملف لـ%s
1320	ملف جديد
1492	إنشاء عقد الأتعاب من صلاحية المحامي فقط.
1566	فُتح رغم تعارض محتمل في المصالح؛ بانتظار قرار أحد الشركاء.
43	%s (الطرف الآخر)
28	%(name)s: آخر موعد للإجراء %(safe)s
29	%(name)s: آخر موعد للإجراء %(safe)s (آخر يوم قانونياً %(legal)s)
31	%(now)s (كان %(old)s)
35	انتهت %(prev)s دون جواب، وهذا يُعدّ رفضاً. المدة التالية:
36	استوفيت %(prev)s في %(date)s. المدة التالية:
87	%s: بانتظار تاريخ التبليغ
485	أُغلق مع المهلة.
638	أُلغيت المهلة: %s
639	استوفيت المهلة: %s
1268	فاتت المهلة: %(name)s. كان آخر يوم قانونياً %(date)s.
1485	إلغاء المهلة من صلاحية المحامي فقط.
1505	إعادة فتح مهلة مغلقة من صلاحية المدير القانوني فقط.
1519	لا تُعلَّم بالاستيفاء إلا مهلة قائمة.
1527	تعديل المهلة من صلاحية الفريق القانوني فقط.
41	%(user)s محامٍ متمرن: لا يجوز للمتمرن الحضور أمام %(court)s.
68	%s ليس يوم عمل في هذه المحكمة.
1171	صنف المحامي
1753	سجّل الجلسة
1932	سُجّلت الجلسة.
2162	الوكالة %s لا تخوّل الوكيل توكيل غيره، لذا لا يصح كتاب إنابة بموجبها.
30	%(now)s (كان آخر يوم قانونياً %(old)s)
158	لا يمكن أن تنتهي العطلة قبل أن تبدأ.
