655	المهل الفائتة خلال الفترة
1083	آخر 12 شهراً
1084	آخر 3 أشهر
1401	بلا نوع ملف
1430	لا أحد
1632	موكّلون آخرون
2106	لوحة التحليلات مخصصة للمديرين القانونيين والمدققين.
2251	هذا الشهر
2567	in_progress
2575	pending_docs
1450	لم تبدأ بعد
1637	خدمات أخرى
2373	بانتظار المستمسكات
707	تنتهي صلاحية مستمسك في %(date)s: %(name)s — %(number)s
2085	التاريخ المستهدف %(date)s — %(number)s
1022	فاتورة — %s
1673	دفعة مستلمة — %s
1005	قسط مستحق في %(date)s: %(name)s — %(number)s
268	أجب على الكتاب %(name)s قبل %(date)s
419	استعجل الجواب على الكتاب %(name)s، المستحق في %(date)s
1178	ينتهي خطاب الضمان في %(date)s — %(name)s
1713	تنتهي الوكالة في %(date)s — %(name)s
24	%(met)s مستوفاة، %(missed)s فائتة
36	الملفات القائمة: %(count)s، يتولاها %(people)s من الزملاء
88	%s يوم عمل
305	هل نلتزم بالمهل؟
463	قيم الدعاوى القائمة بحسب صفتنا فيها، بعملة الشركة.
535	المصروفات المؤكدة حسب الشهر والموكّل، بعملة الشركة.
585	جارٍ العدّ…
971	كم يستغرق كل نوع حتى يُغلق؟
972	كيف يسير العمل
1260	وسيط أيام العمل من الفتح إلى الإغلاق، للملفات المغلقة خلال الفترة.
1309	الأكثر: %(label)s (%(value)s)
1385	لم تُستوفَ أو تفُت أي مهلة خلال الفترة.
1388	لا مصروفات خلال الفترة.
1403	لم يُغلق أي ملف خلال الفترة.
1409	لا توجد دعوى قائمة بقيمة محددة.
1412	لا ملفات قائمة.
1429	لا توجد معاملة لدى جهة تجاوزت موعدها المستهدف.
1580	المعاملات الحكومية القائمة لدى الجهة بعد تجاوز مدة جوابها المعتادة.
1585	الملفات القائمة حسب الجهة أو المحكمة.
1586	الملفات القائمة حسب الطبيعة.
1587	الملفات القائمة حسب المحامي المسؤول والحالة.
1597	افتح القائمة
1640	مهلنا القانونية ومواعيد الجواب، المستوفاة والفائتة، حسب الشهر.
2019	الأبطأ: %(type)s، %(days)s يوم عمل (%(count)s مغلق)
2151	تعذّر تحميل الأرقام.
2407	ماذا ننفق، ولمن؟
2411	ما الذي على المحك أمام القضاء؟
2416	ما طبيعة العمل القائم؟
2450	أين الملفات القائمة؟
2454	أي الجهات تؤخر معاملاتنا؟
2459	من يتولى العمل؟
246	Alt+Shift+H
57	%s قيد الإجراء
79	%s لم تُنجز بعد
729	أُنجزت في %s
741	مستحقة قبل %s
1218	أشّر نوع ملف بأنه «مُتتبَّع لكل شركة» لمتابعته هنا.
1420	لا خدمة مُتتبَّعة لهذا الموكّل بعد.
247	Alt+Shift+N
629	Ctrl K
261	التحليلات
1971	نظرة على الخدمات
1842	مصدر التذكير
2218	السجل الذي يخصه التذكير القانوني، ليُغلق عند إنجاز ذلك السجل.
143	<span> – </span>
113	07XX XXX XXXX
1447	لم يُحدَّد بعد
142	<span invisible="ldm_fund_balance_text">0</span>
151	<span>–</span>
